SimTime,tb_top.ch_out,tb_top.adc_out[5:0]
0.277,-0.14940638729389072,36
0.278,-0.15452861827217598,36
0.279,-0.15953065329915095,36
0.28,-0.16441657750594596,36
0.281,-0.16919011374540155,36
0.282,-0.17385464106214149,36
0.283,-0.17841321730070717,36
0.284,-0.18286860485909845,36
0.285,-0.18722329866471088,36
0.286,-0.19147955552695539,36
0.287,-0.19563942410354226,36
0.288,-0.19970477480342597,36
0.289,-0.20367732903684888,36
0.29,-0.20755868731009169,36
0.291,-0.21135035574794708,36
0.292,-0.21505377070929302,36
0.293,-0.21867032123937657,36
0.294,-0.22220136917564359,36
0.295,-0.22564826679148062,36
0.296,-0.22901237192356166,36
0.297,-0.23229506058327837,36
0.298,-0.2354977371007935,36
0.299,-0.23862184189155172,36
0.3,-0.24166885696968948,36
0.301,-0.24464030936089509,36
0.302,-0.24943274228916423,36
0.303,-0.25321259302009058,36
0.304,-0.25627233056908416,36
0.305,-0.25884984841650632,36
0.306,-0.26113273417588428,36
0.307,-0.26326283091871444,36
0.308,-0.26534097830085746,36
0.309,-0.26743183161169837,36
0.31,-0.26956866746212893,36
0.311,-0.27175809578127774,36
0.312,-0.27398460886931891,36
0.313,-0.27621490924476916,36
0.314,-0.27840196874583878,36
0.315,-0.28048878163944801,36
0.316,-0.28241178422734609,36
0.317,-0.28410392251056715,36
0.318,-0.28549735779962326,36
0.319,-0.28652580767952929,36
0.32,-0.28712652641829389,36
0.321,-0.28724193472648513,36
0.322,-0.28682091373286311,36
0.323,-0.2858197821511384,36
0.324,-0.28420297890320861,36
0.325,-0.28194347597351938,36
0.326,-0.27902294804543387,36
0.327,-0.27543172656894033,36
0.328,-0.2711685663903376,36
0.329,-0.26624025300313681,36
0.33,-0.26066107792185189,36
0.331,-0.25445220870390656,36
0.332,-0.24764097881629069,36
0.333,-0.24026012092791865,36
0.334,-0.23234696536833049,36
0.335,-0.22394262348747362,36
0.336,-0.21509117353480239,36
0.337,-0.20583886449928612,36
0.338,-0.19623335116067681,36
0.339,-0.18632297143699339,36
0.34,-0.17615607500881997,36
0.341,-0.16578041018766998,36
0.342,-0.15524257409814227,36
0.343,-0.14458752948173798,36
0.344,-0.1338581898191179,36
0.345,-0.12309507301790973,36
0.346,-0.11233602263147302,36
0.347,-0.10161599446309585,36
0.348,-0.090966905469386045,36
0.349,-0.080417541102648843,36
0.35,-0.06999351661877945,26
0.351,-0.059717287416502444,26
0.352,-0.049608203155768062,26
0.353,-0.03968260021653041,26
0.354,-0.029953926991754455,26
0.355,-0.020432896547422169,26
0.356,-0.011127661314288689,26
0.357,-0.002044004687837303,26
0.358,0.006814455308866374,26
0.359,0.015446054812707832,26
0.36,0.023850869498186378,26
0.361,0.032030500281392496,26
0.362,0.039987862663610901,26
0.363,0.047726982595436125,26
0.364,0.055252801309103594,26
0.365,0.062570991140557669,26
0.366,0.069687783950322366,26
0.367,0.076609813359199752,26
0.368,0.083343971645868486,26
0.369,0.089897281812287386,26
0.37,0.096276785012195915,26
0.371,0.10248944325984954,26
0.372,0.10854205709153668,26
0.373,0.11444119764177754,26
0.374,0.1201931524191425,26
0.375,0.12580388392251818,26
0.376,0.1312790001260879,26
0.377,0.13662373577856163,26
0.378,0.14184294340725587,26
0.379,0.1469410928881946,26
0.38,0.15192227843700987,26
0.381,0.15679023188948005,26
0.382,0.16154834117241323,26
0.383,0.16619967291261761,26
0.384,0.17074699819129902,26
0.385,0.17519282052087171,26
0.386,0.17953940519846504,26
0.387,0.18378880927310343,26
0.388,0.18794291144955436,26
0.389,0.19200344133927866,26
0.39,0.19597200755608982,26
0.391,0.19985012423953549,26
0.392,0.20363923567137748,26
0.393,0.20734073872877831,26
0.394,0.2109560029910299,26
0.395,0.21448638838418965,26
0.396,0.21793326030931545,26
0.397,0.22129800225477869,26
0.398,0.22458202594119453,26
0.399,0.22778677908880351,26
0.4,0.23091375093174674,26
0.401,0.23396447563178563,26
0.402,0.23883550346591187,26
0.403,0.24269327867048762,26
